query,context,response,label,llm_score,llm_reasoning
The suburb east of Christie Downs has what land area?," It has a unique postcode of 5164, and is adjacent to the suburbs of Christies Beach to the west, Noarlunga Centre to the south, Morphett Vale to the east and Lonsdale to the north. It is the largest suburb in the state, with a population of more than 23,000 and an area of 12.76 km², followed by Paralowie with nearly 10,000 fewer residents.",The suburb east of Christie Downs is just slightly smaller than 12.76 km².,FAIL,FAIL,"The DOCUMENT does not provide any information about the land area of the suburb east of Christie Downs. | The ANSWER makes an assumption about the size of the suburb east of Christie Downs, which is not supported by the DOCUMENT. | The DOCUMENT only mentions the suburbs adjacent to Christie Downs but does not specify their land areas."
"Saint-Jean-Chrysostome is a sector within the Les Chutes-de-la-Chaudière-Est borough of the city of Lévis in central Quebec, Canada south of which capital city of the Canadian province with the same name?","Saint-Jean-Chrysostome is a sector within the Les Chutes-de-la-Chaudière-Est borough of the city of Lévis in central Quebec, Canada south of Quebec City on the south bank of the Saint Lawrence River.Quebec City (pronounced or ; French: ""Québec"" ] ); French: ""Ville de Québec"" ), officially Québec, is the capital city of the Canadian province of Quebec.",Quebec City,PASS,PASS,The DOCUMENT states that Saint-Jean-Chrysostome is south of Quebec City. | The DOCUMENT also confirms that Quebec City is the capital city of the Canadian province of Quebec. | The ANSWER 'Quebec City' is consistent with the information provided in the DOCUMENT.
"Saint-Jean-Chrysostome is a sector within the Les Chutes-de-la-Chaudière-Est borough of the city of Lévis in central Quebec, Canada south of which capital city of the Canadian province with the same name?","Saint-Jean-Chrysostome is a sector within the Les Chutes-de-la-Chaudière-Est borough of the city of Lévis in central Quebec, Canada south of Quebec City on the south bank of the Saint Lawrence River.Quebec City (pronounced or ; French: ""Québec"" ] ); French: ""Ville de Québec"" ), officially Québec, is the capital city of the Canadian province of Quebec.",Toronto is the capital city.,FAIL,FAIL,The DOCUMENT states that Quebec City is the capital city of the Canadian province of Quebec. | The ANSWER incorrectly states that Toronto is the capital city. | The ANSWER contradicts the information provided in the DOCUMENT.
This UFC fighter's brother is and actor and what other profession?,"Julien Kang (; born 11 April 1982) is a French television actor and model born in Saint Pierre and Miquelon, an overseas French territory off the coast of Canada, to a Korean father and a French mother. A professional competitor since 1998, Kang has formerly competed for the UFC, PRIDE, DREAM, Impact FC, M-1 Global, K-1 HERO'S, ROAD FC, and Pancrase.",model,PASS,PASS,The DOCUMENT states that Julien Kang is a television actor and model. | The ANSWER states that the other profession is 'model'. | The ANSWER is consistent with the information provided in the DOCUMENT. | There is no contradiction or additional information in the ANSWER that is not present in the DOCUMENT.
This UFC fighter's brother is and actor and what other profession?,"Julien Kang (; born 11 April 1982) is a French television actor and model born in Saint Pierre and Miquelon, an overseas French territory off the coast of Canada, to a Korean father and a French mother. A professional competitor since 1998, Kang has formerly competed for the UFC, PRIDE, DREAM, Impact FC, M-1 Global, K-1 HERO'S, ROAD FC, and Pancrase.",This UFC fighter's brother is an engineer and a musician.,FAIL,FAIL,"The DOCUMENT provides information about Julien Kang, mentioning he is a television actor and model. | The DOCUMENT does not mention anything about Julien Kang's brother or his professions. | The ANSWER states that the UFC fighter's brother is an engineer and a musician, which is not supported by any information in the DOCUMENT. | The ANSWER introduces new information not found in the DOCUMENT."
Titanic Days is which English singer and songwriter's fourth studio album?,"Titanic Days is Kirsty MacColl's fourth studio album, released in 1993.Kirsty Anna MacColl (10 October 1959 – 18 December 2000) was an English singer and songwriter.",Kirsty Anna MacColl,PASS,PASS,The DOCUMENT states that Titanic Days is Kirsty MacColl's fourth studio album. | The ANSWER 'Kirsty Anna MacColl' is consistent with the information in the DOCUMENT. | The ANSWER does not introduce any new information or contradict the DOCUMENT.
Titanic Days is which English singer and songwriter's fourth studio album?,"Titanic Days is Kirsty MacColl's fourth studio album, released in 1993.Kirsty Anna MacColl (10 October 1959 – 18 December 2000) was an English singer and songwriter.","One of the most popular English singers and songwriters, Kirsty Anna MacColl, released her album Titanic Days in 1993.",FAIL,FAIL,"The DOCUMENT states that Titanic Days is Kirsty MacColl's fourth studio album, released in 1993. | The ANSWER correctly identifies Kirsty Anna MacColl as the artist who released Titanic Days in 1993. | The ANSWER adds the description 'One of the most popular English singers and songwriters,' which is not supported by the DOCUMENT. | The additional description in the ANSWER introduces new information not present in the DOCUMENT."
"The Palais Theater is located in what inner suburb, whose local government area is the City of Port Philip?","The Palais Theatre is a concert venue and theatre located in the Melbourne inner suburb of St Kilda.St Kilda is an inner suburb (neighbourhood) of the metropolitan area of Melbourne, Victoria, Australia, 6 km south-east of Melbourne's Central Business District. Its local government area is the City of Port Phillip.",St Kilda,PASS,PASS,The DOCUMENT states that the Palais Theatre is located in the Melbourne inner suburb of St Kilda. | The DOCUMENT also confirms that St Kilda's local government area is the City of Port Phillip. | The ANSWER 'St Kilda' is consistent with the information provided in the DOCUMENT.
"The Palais Theater is located in what inner suburb, whose local government area is the City of Port Philip?","The Palais Theatre is a concert venue and theatre located in the Melbourne inner suburb of St Kilda.St Kilda is an inner suburb (neighbourhood) of the metropolitan area of Melbourne, Victoria, Australia, 6 km south-east of Melbourne's Central Business District. Its local government area is the City of Port Phillip.","The Palais Theatre is located in St Kilda, where Port Phillip is the local government.",FAIL,PASS,The DOCUMENT states that the Palais Theatre is located in St Kilda. | The DOCUMENT also states that St Kilda's local government area is the City of Port Phillip. | The ANSWER correctly states that the Palais Theatre is located in St Kilda. | The ANSWER also correctly states that Port Phillip is the local government area for St Kilda. | The ANSWER does not introduce any new information or contradict the DOCUMENT.
Where did Eve Meyer die?," She was killed in the Tenerife airport disaster in 1977, the worst aviation accident in history.On March 27, 1977, two Boeing 747 passenger jets, KLM Flight 4805 and Pan Am Flight 1736, collided on the runway at Los Rodeos Airport (now Tenerife North Airport), on the Spanish island of Tenerife, Canary Islands, killing 583 people in the deadliest accident in aviation history.","on the Spanish island of Tenerife, Canary Islands",PASS,PASS,"The DOCUMENT states that Eve Meyer was killed in the Tenerife airport disaster. | The disaster occurred at Los Rodeos Airport on the Spanish island of Tenerife, Canary Islands. | The ANSWER states that Eve Meyer died on the Spanish island of Tenerife, Canary Islands. | The ANSWER is consistent with the information provided in the DOCUMENT."
Where did Eve Meyer die?," She was killed in the Tenerife airport disaster in 1977, the worst aviation accident in history.On March 27, 1977, two Boeing 747 passenger jets, KLM Flight 4805 and Pan Am Flight 1736, collided on the runway at Los Rodeos Airport (now Tenerife North Airport), on the Spanish island of Tenerife, Canary Islands, killing 583 people in the deadliest accident in aviation history.",Eve Meyer died in the worst aviation accident in history.,FAIL,PASS,The DOCUMENT states that Eve Meyer was killed in the Tenerife airport disaster in 1977. | The ANSWER states that Eve Meyer died in the worst aviation accident in history. | The DOCUMENT confirms that the Tenerife airport disaster was the worst aviation accident in history. | The ANSWER does not contradict the DOCUMENT and is consistent with the information provided.
"Who did the actor who starred as Constable Benton Fraser in the television series ""Due South"" have a child with?"," She is the daughter of fellow actors Martha Burns and Paul Gross. He is known for his lead role as Constable Benton Fraser in the television series ""Due South"" as well as his 2008 war film ""Passchendaele"", which he wrote, produced, directed, and starred in.",Martha Burns,PASS,FAIL,The DOCUMENT states that Martha Burns is the daughter of Paul Gross. | Paul Gross is identified as the actor who starred as Constable Benton Fraser in 'Due South'. | The ANSWER states that Paul Gross had a child with Martha Burns. | The DOCUMENT does not provide information about Paul Gross having a child with Martha Burns. | The ANSWER makes an assumption not supported by the DOCUMENT.
"Who did the actor who starred as Constable Benton Fraser in the television series ""Due South"" have a child with?"," She is the daughter of fellow actors Martha Burns and Paul Gross. He is known for his lead role as Constable Benton Fraser in the television series ""Due South"" as well as his 2008 war film ""Passchendaele"", which he wrote, produced, directed, and starred in.","The actor who played Constable Benton Fraser in ""Due South"" had a child with fellow actor Richard Gross.",FAIL,FAIL,"The DOCUMENT states that the actor who played Constable Benton Fraser is Paul Gross. | The DOCUMENT does not mention Richard Gross. | The ANSWER claims the actor had a child with Richard Gross, which is not supported by the DOCUMENT. | The DOCUMENT mentions Martha Burns as the partner of Paul Gross, implying she is the mother of his child."
"Dharmatama is a 1975 Hindi thriller movie, and the first Bollywood film to be shot in Afghanistan,the title character was based on matka, king Ratan Khatri, Matka"" gambling or satta"" is a form of lottery which originally involved betting on the opening and closing rates of cotton transmitted from where?"," The title character was based on matka (form of Indian gambling) king Ratan Khatri.Matka"" gambling or satta"" is a form of lottery which originally involved betting on the opening and closing rates of cotton transmitted from the New York Cotton Exchange.",New York Cotton Exchange,PASS,PASS,The DOCUMENT states that matka gambling originally involved betting on the opening and closing rates of cotton transmitted from the New York Cotton Exchange. | The ANSWER correctly identifies the New York Cotton Exchange as the source of the cotton rates. | The ANSWER does not introduce any new information or contradict the DOCUMENT.
"Dharmatama is a 1975 Hindi thriller movie, and the first Bollywood film to be shot in Afghanistan,the title character was based on matka, king Ratan Khatri, Matka"" gambling or satta"" is a form of lottery which originally involved betting on the opening and closing rates of cotton transmitted from where?"," The title character was based on matka (form of Indian gambling) king Ratan Khatri.Matka"" gambling or satta"" is a form of lottery which originally involved betting on the opening and closing rates of cotton transmitted from the New York Cotton Exchange.","Matka"" gambling or satta"" originally involved betting on the opening and closing rates of cotton transmitted from the Bombay Stock Exchange.",FAIL,FAIL,The DOCUMENT states that Matka gambling originally involved betting on the opening and closing rates of cotton transmitted from the New York Cotton Exchange. | The ANSWER incorrectly states that the rates were transmitted from the Bombay Stock Exchange. | This discrepancy indicates that the ANSWER is not faithful to the DOCUMENT.
In what region would you probably find both Beaucarnea and Cybistax?,"Beaucarnea is a genus of flowering plants native to Mexico and Central America. Mart., a flowering and economic timber tree from tropical Central and South America.",Central America,PASS,FAIL,"The DOCUMENT states that Beaucarnea is native to Mexico and Central America. | The DOCUMENT mentions Mart., a tree from tropical Central and South America, but does not specify Cybistax. | The ANSWER 'Central America' is partially grounded in the DOCUMENT for Beaucarnea. | The DOCUMENT does not provide information about Cybistax, so the ANSWER is not fully grounded."
In what region would you probably find both Beaucarnea and Cybistax?,"Beaucarnea is a genus of flowering plants native to Mexico and Central America. Mart., a flowering and economic timber tree from tropical Central and South America.",Beaucarnea and Cybistax can be found in South America.,FAIL,FAIL,"The DOCUMENT states that Beaucarnea is native to Mexico and Central America. | The DOCUMENT mentions Mart., a tree from Central and South America, but does not specify Cybistax. | The ANSWER claims both Beaucarnea and Cybistax can be found in South America. | The DOCUMENT does not provide information about Cybistax being in South America. | The ANSWER introduces information not grounded in the DOCUMENT regarding Cybistax."
Are Niki Caro and Thomas Vinterberg both film directors?,"Nikola Jean ""Niki"" Caro {'1': "", '2': "", '3': "", '4': ""} (born 1967) is a film director, producer and screenwriter who was born in Wellington, New Zealand.Thomas Vinterberg (born 19 May 1969) is a Danish film director who, along with Lars von Trier, co-founded the Dogme 95 movement in filmmaking, which established rules for simplifying movie production.",yes,PASS,PASS,The DOCUMENT states that Niki Caro is a film director. | The DOCUMENT also states that Thomas Vinterberg is a film director. | The ANSWER 'yes' is consistent with the information provided in the DOCUMENT.
Are Niki Caro and Thomas Vinterberg both film directors?,"Nikola Jean ""Niki"" Caro {'1': "", '2': "", '3': "", '4': ""} (born 1967) is a film director, producer and screenwriter who was born in Wellington, New Zealand.Thomas Vinterberg (born 19 May 1969) is a Danish film director who, along with Lars von Trier, co-founded the Dogme 95 movement in filmmaking, which established rules for simplifying movie production.","Niki Caro is a film director, but Thomas Vinterberg is not.",FAIL,FAIL,"The DOCUMENT states that Niki Caro is a film director. | The DOCUMENT also states that Thomas Vinterberg is a Danish film director. | The ANSWER incorrectly claims that Thomas Vinterberg is not a film director, which contradicts the DOCUMENT."
Barrie Ciliberti is a professor at a univeristy located in what Maryland county?,"Barrie Ciliberti was born in Philadelphia, Pennsylvania, is a University of Maryland University College professor and former Republican legislator in the Maryland House of Delegates.The University of Maryland University College (UMUC) is an American public not-for-profit university located in Adelphi in Prince George's County, Maryland in the United States.",Prince George's County,PASS,PASS,"The DOCUMENT states that the University of Maryland University College is located in Adelphi, Prince George's County, Maryland. | Barrie Ciliberti is identified as a professor at the University of Maryland University College. | The ANSWER 'Prince George's County' is consistent with the location of the university as stated in the DOCUMENT."
Barrie Ciliberti is a professor at a univeristy located in what Maryland county?,"Barrie Ciliberti was born in Philadelphia, Pennsylvania, is a University of Maryland University College professor and former Republican legislator in the Maryland House of Delegates.The University of Maryland University College (UMUC) is an American public not-for-profit university located in Adelphi in Prince George's County, Maryland in the United States.",Barrie Ciliberti is a professor in Maryland.,FAIL,PASS,"The DOCUMENT states that Barrie Ciliberti is a professor at the University of Maryland University College. | The University of Maryland University College is located in Prince George's County, Maryland. | The ANSWER states that Barrie Ciliberti is a professor in Maryland, which is consistent with the DOCUMENT. | The ANSWER does not contradict the DOCUMENT, but it is less specific than the information provided in the DOCUMENT."
Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?," Its basis is the Fragrant Concubine, a Chinese legend about a Uighur girl from Kashgar who became a concubine of the Qianlong Emperor. The cartoon was produced to improve relations between the Han Chinese and the Uighurs. They constitute approximately 92% of the population of China, 95% of Taiwan (Han Taiwanese), 76% of Singapore, 23% of Malaysia and about 17% of the global population, making them the world's largest ethnic group with over 1.3 billion people.",17%,PASS,PASS,The DOCUMENT states that the Han Chinese constitute about 17% of the global population. | The ANSWER states that the ethnic group makes up 17% of the global population. | The ANSWER is consistent with the information provided in the DOCUMENT.
Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?," Its basis is the Fragrant Concubine, a Chinese legend about a Uighur girl from Kashgar who became a concubine of the Qianlong Emperor. The cartoon was produced to improve relations between the Han Chinese and the Uighurs. They constitute approximately 92% of the population of China, 95% of Taiwan (Han Taiwanese), 76% of Singapore, 23% of Malaysia and about 17% of the global population, making them the world's largest ethnic group with over 1.3 billion people.",More than 25%,FAIL,FAIL,"The DOCUMENT states that the ethnic group in question, the Han Chinese, make up about 17% of the global population. | The ANSWER states that the percentage is more than 25%, which contradicts the information provided in the DOCUMENT. | The ANSWER is not faithful to the DOCUMENT as it provides a percentage that is not supported by the DOCUMENT."
"The 2017 British GT Championship will be the 25th British GT Championship, a sports car championship promoted by the Stéphane Ratel Organisation (SRO), it will occur at which motor racing track in the village of Little Budworth, Cheshire, England?"," The season will begin on 15 April at Oulton Park and finish on 24 September at Donington Park, after ten rounds held over seven meetings.Oulton Park Circuit is a motor racing track in the village of Little Budworth, Cheshire, England.",Oulton Park Circuit,PASS,PASS,"The DOCUMENT states that the season will begin at Oulton Park. | Oulton Park Circuit is identified in the DOCUMENT as a motor racing track in the village of Little Budworth, Cheshire, England. | The ANSWER 'Oulton Park Circuit' is directly supported by the information in the DOCUMENT."
"The 2017 British GT Championship will be the 25th British GT Championship, a sports car championship promoted by the Stéphane Ratel Organisation (SRO), it will occur at which motor racing track in the village of Little Budworth, Cheshire, England?"," The season will begin on 15 April at Oulton Park and finish on 24 September at Donington Park, after ten rounds held over seven meetings.Oulton Park Circuit is a motor racing track in the village of Little Budworth, Cheshire, England.",The British GT Championship will be held at Snetterton Circuit.,FAIL,FAIL,"The DOCUMENT states that Oulton Park Circuit is a motor racing track in the village of Little Budworth, Cheshire, England. | The ANSWER incorrectly states that the British GT Championship will be held at Snetterton Circuit. | The ANSWER contradicts the information provided in the DOCUMENT."
Do Jean-Jacques Beineix and John Ince have the same nationality ?,"Jean-Jacques Beineix (] ; born 8 October 1946) is a French film director and generally seen as the best example of what came to be called the ""cinéma du look"".John Ince, also known as John E. Ince, (August 29, 1878 – April 10, 1947) was an American stage and motion pictures actor, a film director, and the eldest brother of Thomas H. Ince and Ralph Ince.",no,PASS,PASS,The DOCUMENT states that Jean-Jacques Beineix is French. | The DOCUMENT states that John Ince was American. | The ANSWER 'no' implies that they do not have the same nationality. | The information in the ANSWER is consistent with the DOCUMENT.
Do Jean-Jacques Beineix and John Ince have the same nationality ?,"Jean-Jacques Beineix (] ; born 8 October 1946) is a French film director and generally seen as the best example of what came to be called the ""cinéma du look"".John Ince, also known as John E. Ince, (August 29, 1878 – April 10, 1947) was an American stage and motion pictures actor, a film director, and the eldest brother of Thomas H. Ince and Ralph Ince.","Yes, both are French.",FAIL,FAIL,"The DOCUMENT states that Jean-Jacques Beineix is French. | The DOCUMENT states that John Ince was American. | The ANSWER claims both are French, which contradicts the DOCUMENT."
Zombie Night starred the Actress who was on which CBS sitcom?,"Zombie Night is a 2013 American zombie horror film directed by John Gulager, written by Keith Allan and Delondra Williams from a story by Richard Schenkman, and starring Anthony Michael Hall, Daryl Hannah, Jennifer Taylor, Alan Ruck, and Shirley Jones.Jennifer Taylor (née Bini, and sometimes credited as Jennifer Bini Taylor; born April 19, 1972) is an American actress, best known for her role as Chelsea Melini on CBS sitcom ""Two and a Half Men"", and earlier, for three other female roles on the show.",Two and a Half Men,PASS,PASS,The DOCUMENT states that Jennifer Taylor starred in 'Zombie Night'. | The DOCUMENT also mentions that Jennifer Taylor is best known for her role as Chelsea Melini on the CBS sitcom 'Two and a Half Men'. | The ANSWER 'Two and a Half Men' is consistent with the information provided in the DOCUMENT about Jennifer Taylor's role on a CBS sitcom.
Zombie Night starred the Actress who was on which CBS sitcom?,"Zombie Night is a 2013 American zombie horror film directed by John Gulager, written by Keith Allan and Delondra Williams from a story by Richard Schenkman, and starring Anthony Michael Hall, Daryl Hannah, Jennifer Taylor, Alan Ruck, and Shirley Jones.Jennifer Taylor (née Bini, and sometimes credited as Jennifer Bini Taylor; born April 19, 1972) is an American actress, best known for her role as Chelsea Melini on CBS sitcom ""Two and a Half Men"", and earlier, for three other female roles on the show.",Zombie Night starred the Actress who was on a popular CBS sitcom.,FAIL,PASS,"The DOCUMENT states that Jennifer Taylor starred in Zombie Night. | The DOCUMENT also mentions that Jennifer Taylor is best known for her role on the CBS sitcom 'Two and a Half Men'. | The ANSWER states that Zombie Night starred the Actress who was on a popular CBS sitcom. | The ANSWER is consistent with the DOCUMENT as it does not specify which CBS sitcom, but it is implied that it refers to Jennifer Taylor's role on 'Two and a Half Men'."
Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?,"Norbert Holm (16 December 1895 – 3 June 1962) was a general in the Wehrmacht of Nazi Germany during World War II. Following the 20 July plot, on 16 September 1944, Norbert Holm was arrested and later demoted because of his Chief of Operations association with Field Marsal Erwin Rommel.Erwin Rommel (15 November 1891 – 14 October 1944) was a German general and military theorist. Popularly known as the Desert Fox, he served as field marshal in the Wehrmacht of Nazi Germany during World War II.",the Desert Fox,PASS,PASS,The DOCUMENT states that Norbert Holm was arrested and demoted due to his association with Field Marshal Erwin Rommel. | The DOCUMENT also mentions that Erwin Rommel was popularly known as the Desert Fox. | The ANSWER 'the Desert Fox' is consistent with the information provided in the DOCUMENT about Erwin Rommel's popular nickname.
Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?,"Norbert Holm (16 December 1895 – 3 June 1962) was a general in the Wehrmacht of Nazi Germany during World War II. Following the 20 July plot, on 16 September 1944, Norbert Holm was arrested and later demoted because of his Chief of Operations association with Field Marsal Erwin Rommel.Erwin Rommel (15 November 1891 – 14 October 1944) was a German general and military theorist. Popularly known as the Desert Fox, he served as field marshal in the Wehrmacht of Nazi Germany during World War II.",Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military strategist.,FAIL,FAIL,"The DOCUMENT states that Norbert Holm was arrested and demoted due to his association with Field Marshal Erwin Rommel. | Erwin Rommel is described in the DOCUMENT as a German general and military theorist, popularly known as the Desert Fox. | The ANSWER states that Norbert Holm was arrested and demoted because of his association with a military strategist. | The term 'military strategist' is not used in the DOCUMENT; instead, it uses 'military theorist' and 'Desert Fox' to describe Rommel. | The ANSWER does not mention Erwin Rommel by name, which is a key detail in the DOCUMENT."
The Boy Who Cried Bitch is a 1991 American independent drama film directed by Juan Jose Campanella and stars include which American actor?,"The Boy Who Cried Bitch is a 1991 American independent drama film directed by Juan Jose Campanella and starring Harley Cross, Karen Young, Jason Biggs (in his first speaking role), Jesse Bradford and Adrien Brody.Jesse Bradford (born May 28, 1979) is an American actor.",Jesse Bradford,PASS,PASS,The DOCUMENT lists Jesse Bradford as one of the stars of the film 'The Boy Who Cried Bitch'. | The ANSWER 'Jesse Bradford' is directly mentioned in the DOCUMENT. | The ANSWER does not introduce any information not found in the DOCUMENT.
The Boy Who Cried Bitch is a 1991 American independent drama film directed by Juan Jose Campanella and stars include which American actor?,"The Boy Who Cried Bitch is a 1991 American independent drama film directed by Juan Jose Campanella and starring Harley Cross, Karen Young, Jason Biggs (in his first speaking role), Jesse Bradford and Adrien Brody.Jesse Bradford (born May 28, 1979) is an American actor.","One of the stars of The Boy Who Cried Bitch is Jesse Bradford, who was born in May 1979.",FAIL,PASS,"The DOCUMENT states that Jesse Bradford is one of the stars of The Boy Who Cried Bitch. | The DOCUMENT also provides Jesse Bradford's birth date as May 28, 1979. | The ANSWER accurately reflects the information provided in the DOCUMENT."
"Which movie was directed by Spike Lee, When the Levees Broke or When Brummies Met Sindhis?","When the Levees Broke: A Requiem in Four Acts is a 2006 documentary film directed by Spike Lee about the devastation of New Orleans, Louisiana following the failure of the levees during Hurricane Katrina.When Brummies Met Sindhis is a documentary film made by Pakistani documentary filmmaker, Azfar Rizvi.",When the Levees Broke,PASS,PASS,The DOCUMENT states that 'When the Levees Broke: A Requiem in Four Acts' is directed by Spike Lee. | The DOCUMENT also states that 'When Brummies Met Sindhis' is made by Azfar Rizvi. | The ANSWER 'When the Levees Broke' is consistent with the information provided in the DOCUMENT.
"Which movie was directed by Spike Lee, When the Levees Broke or When Brummies Met Sindhis?","When the Levees Broke: A Requiem in Four Acts is a 2006 documentary film directed by Spike Lee about the devastation of New Orleans, Louisiana following the failure of the levees during Hurricane Katrina.When Brummies Met Sindhis is a documentary film made by Pakistani documentary filmmaker, Azfar Rizvi.",Spike Lee directed When Brummies Met Sindhis.,FAIL,FAIL,"The DOCUMENT states that 'When the Levees Broke: A Requiem in Four Acts' is directed by Spike Lee. | The DOCUMENT states that 'When Brummies Met Sindhis' is made by Azfar Rizvi. | The ANSWER claims Spike Lee directed 'When Brummies Met Sindhis', which contradicts the DOCUMENT."
What profession does Nicholas Ray and Elia Kazan have in common?,"Nicholas Ray (born Raymond Nicholas Kienzle Jr., August 7, 1911 – June 16, 1979) was an American film director best known for the movie ""Rebel Without a Cause.""Elia Kazan (born Elias Kazantzoglou September 7, 1909 – September 28, 2003) was a Greek-American director, producer, writer and actor, described by ""The New York Times"" as ""one of the most honored and influential directors in Broadway and Hollywood history"".",director,PASS,PASS,"The DOCUMENT states that Nicholas Ray was an American film director. | The DOCUMENT also states that Elia Kazan was a director, among other professions. | Both individuals are described as directors in the DOCUMENT. | The ANSWER 'director' is consistent with the information provided in the DOCUMENT."
What profession does Nicholas Ray and Elia Kazan have in common?,"Nicholas Ray (born Raymond Nicholas Kienzle Jr., August 7, 1911 – June 16, 1979) was an American film director best known for the movie ""Rebel Without a Cause.""Elia Kazan (born Elias Kazantzoglou September 7, 1909 – September 28, 2003) was a Greek-American director, producer, writer and actor, described by ""The New York Times"" as ""one of the most honored and influential directors in Broadway and Hollywood history"".",Nicholas Ray and Elia Kazan both worked in the film industry.,FAIL,PASS,"The DOCUMENT states that Nicholas Ray was an American film director. | The DOCUMENT states that Elia Kazan was a director, producer, writer, and actor. | Both individuals are described as directors in the DOCUMENT. | The ANSWER states that both worked in the film industry, which is consistent with the DOCUMENT's information about them being directors."
Where was the company that sponsored the 95-96 Premier League founded?,"The 1995–96 FA Premier League (known as the FA Carling Premiership due to the competition's sponsorship by the Carling brewery) was the fourth season of the competition, since its formation in 1992.Carling brewery was founded in London, Ontario, Canada in 1818.","London, Ontario, Canada",PASS,PASS,"The DOCUMENT states that the 1995-96 FA Premier League was sponsored by the Carling brewery. | The DOCUMENT specifies that Carling brewery was founded in London, Ontario, Canada in 1818. | The ANSWER 'London, Ontario, Canada' matches the information provided in the DOCUMENT about the founding location of the Carling brewery."
Where was the company that sponsored the 95-96 Premier League founded?,"The 1995–96 FA Premier League (known as the FA Carling Premiership due to the competition's sponsorship by the Carling brewery) was the fourth season of the competition, since its formation in 1992.Carling brewery was founded in London, Ontario, Canada in 1818.",The city of London in England.,FAIL,FAIL,"The DOCUMENT states that Carling brewery was founded in London, Ontario, Canada. | The ANSWER incorrectly states that the company was founded in London, England. | The ANSWER contradicts the information provided in the DOCUMENT."
"Tie a Yellow Ribbon is the third album by American popular music group Dawn (Michael Anthony Orlando Cassavitas, Telma Hopkins & Joyce Vincent Wilson) released in which year?","Tie a Yellow Ribbon is the third album by American popular music group Dawn (Michael Anthony Orlando Cassavitas, Telma Hopkins & Joyce Vincent Wilson) released in 1973 by Bell Records.Telma Louise Hopkins (born October 28, 1948) is an American singer and actress.",1973,PASS,PASS,"The DOCUMENT states that 'Tie a Yellow Ribbon' is the third album by Dawn released in 1973. | The ANSWER provides the year 1973, which matches the information in the DOCUMENT. | There is no additional information or contradiction in the ANSWER compared to the DOCUMENT."
"Tie a Yellow Ribbon is the third album by American popular music group Dawn (Michael Anthony Orlando Cassavitas, Telma Hopkins & Joyce Vincent Wilson) released in which year?","Tie a Yellow Ribbon is the third album by American popular music group Dawn (Michael Anthony Orlando Cassavitas, Telma Hopkins & Joyce Vincent Wilson) released in 1973 by Bell Records.Telma Louise Hopkins (born October 28, 1948) is an American singer and actress.",Tie a Yellow Ribbon was released in the early 1970s.,FAIL,PASS,The DOCUMENT states that 'Tie a Yellow Ribbon' was released in 1973. | The ANSWER states that 'Tie a Yellow Ribbon' was released in the early 1970s. | The ANSWER is consistent with the DOCUMENT as 1973 falls within the early 1970s. | The ANSWER does not contradict the DOCUMENT.
"Which has more to do with the Boston Marathon, Zootopia or Stylianos Kyriakides?","Zootopia is a 2016 American 3D computer-animated comedy-adventure film produced by Walt Disney Animation Studios and released by Walt Disney Pictures. It is the 55th Disney animated feature film. The film was directed by Byron Howard and Rich Moore, co-directed by Jared Bush, and stars the voices of Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J. K. Simmons, Octavia Spencer, Alan Tudyk, and Shakira. The film details the unlikely partnership between a rabbit police officer and a red fox con artist as they uncover a conspiracy involving the disappearance of savage predator inhabitants of a mammalian metropolis.Stylianos ""Stelios"" Kyriakides (Greek: Στυλιανός ""Στέλιος"" Κυριακίδης ; January 15, 1910 (Paphos, Cyprus OS/NS) – December 1987) was a marathon runner who came first at the Boston Marathon in 1946, with the aim of raising money to provide food and shelter to the Greeks, who were experiencing severe poverty issues from the Second World War.","Stylianos ""Stelios"" Kyriakides",PASS,PASS,"The DOCUMENT provides information about Zootopia as a film and its plot, with no mention of the Boston Marathon. | The DOCUMENT states that Stylianos Kyriakides was a marathon runner who won the Boston Marathon in 1946. | The ANSWER 'Stylianos Kyriakides' is directly supported by the DOCUMENT as he is explicitly connected to the Boston Marathon. | The ANSWER does not introduce any information not found in the DOCUMENT."
